,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,לחמניית בריוש ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מחיר מתכון כולל,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ₪ ,44.94,,,,,
,שם מוצר,,,,,,לחמניית בריוש ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מחיר מוצר,,,,,,,,
,כמות מוצרים סופיים למתכון,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,, ₪ ,3.00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,מחיר מכירה,,,,,,,,,,,,,5.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,הרכב מחיר,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עלות,,,למתכון,,,למוצר,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מוצרים,,, ₪ ,17.94,, ₪ ,1.20,
,,,,,,,,,,,,,,הרכב מוצרים,,,,,,,,,,,,,,,,,,,,,,,,,,אריזה,,, ₪ ,0.00,, ₪ ,0.00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עובדים,,, ₪ ,27.00,, ₪ ,1.80,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,חומר גלם,,,,,,,,מחיר ליחידה,,,,כמות במתכון,,,,,מחיר למתכון,,,,מחיר למוצר,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 .,קמח 55 טריו מנופה (נ.א) 5 ק״ג ,,,,,,, ₪ ,7.80,,,0.63,,,,, ₪ ,4.91,,, ₪ ,0.33,,,,,,,,,,,,,,,,,,,,,,,,,
,2 .,נוזל ביצים מעורב,,,,,,, ₪ ,17.14,,,0.139,,,,, ₪ ,2.38,,, ₪ ,0.16,,,,,,,,,,,,,,,,,,,,,,,,,
,3 .,סוכר לבן א 25.בשק,,,,,,, ₪ ,4.00,,,0.095,,,,, ₪ ,0.38,,, ₪ ,0.03,,,,,,,,,,,,,,,,מחיר מכירה,,,,,,,, ₪ ,5.98
,4 .,חלב קרטון 3% ( גד ) ,,,,,,, ₪ ,5.23,,,0.107,,,,, ₪ ,0.56,,, ₪ ,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
,5 .,שמנת 15% 500 מ''ל ( גד ) ,,,,,,, ₪ ,4.93,,,0.126,,,,, ₪ ,0.62,,, ₪ ,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
,6 .,מלח חבילות ארוז 12,,,,,,, ₪ ,1.73,,,0.013,,,,, ₪ ,0.02,,, ₪ ,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
,7 .,שמרים יבשים 500 גרם - פליישמן,,,,,,, ₪ ,7.90,,,0.011,,,,, ₪ ,0.09,,, ₪ ,0.01,,,,,,,,,,,,,,,,,,הכנסה,,,, ₪ ,5.98,,
,8 .,חמאה אירית 10 ק''ג ( גד ),,,,,,, ₪ ,27.00,,,0.252,,,,, ₪ ,6.80,,, ₪ ,0.45,,,,,,,,,,,,,,,,,,הוצאה למוצר,,,, ₪ ,3.00,,
,9 .,סוכר גבישי C-40א 25.,,,,,,, ₪ ,12.75,,,0.17,,,,, ₪ ,2.17,,, ₪ ,0.14,,,,,,,,,,,,,,,,,,רווח למוצר,,,, ₪ ,2.98,,
,10 .,,,,,,,,  ,,,,,,,,,  ,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,
,11 .,,,,,,,,  ,,,,,,,,,  ,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,
,12 .,,,,,,,,  ,,,,,,,,,  ,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,
,13 .,,,,,,,,  ,,,,,,,,,  ,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,
,14 .,,,,,,,,  ,,,,,,,,,  ,,,,  ,,,,,,,,,,,,,,,,,,שולי רווח,,,,,,,,
,15 .,,,,,,,,  ,,,,,,,,,  ,,,,  ,,,,,,,,,,,,,,,,,,,,49.9%,,,,,,
,16 .,,,,,,,,  ,,,,,,,,,  ,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,
,17 .,,,,,,,,  ,,,,,,,,,  ,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,
,18 .,,,,,,,,  ,,,,,,,,,  ,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,
,19 .,,,,,,,,  ,,,,,,,,,  ,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,
,20 .,,,,,,,,  ,,,,,,,,,  ,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,מחיר מוצרי גלם למתכון,,,,,,,,₪17.94,,,,מחיר מוצרי גלם למוצר,,,,,,,,₪1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,אריזה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,מוצר אריזה,,,,,,,,מחיר לאריזה,,,,כמות באריזה,,,,,מחיר ליחידה,,,,יחידות למתכון,,,,,מחיר למתכון,,,,מחיר למוצר,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 .,שקית נייר פרגמנט בתיאבון א.2000 יח' - סיתי **שיריון**,,,,,,, ₪ ,200.00,,,2000,,,,, ₪ ,,,,17,,,,, ₪ ,0.00,,, ₪ ,0.00,,,,,,,,,,,,,,,,
,2 .,מפית נייר 40/40 דו-שכבתי קיפול ספר לבן,,,,,,, ₪ ,129.27,,,,,,,, ₪ ,,,,17,,,,, ₪ ,0.00,,, ₪ ,0.00,,,,,,,,,,,,,,,,
,3 .,,,,,,,,  ,,,,,,,,,  ,,,,,,,,,  ,,,,  ,,,,,,,,,,,,,,,,,
,4 .,,,,,,,,  ,,,,,,,,,  ,,,,,,,,,  ,,,,  ,,,,,,,,,,,,,,,,,
,5 .,,,,,,,,  ,,,,,,,,,  ,,,,,,,,,  ,,,,  ,,,,,,,,,,,,,,,,,
,6 .,,,,,,,,  ,,,,,,,,,  ,,,,,,,,,  ,,,,  ,,,,,,,,,,,,,,,,,
,7 .,,,,,,,,  ,,,,,,,,,  ,,,,,,,,,  ,,,,  ,,,,,,,,,,,,,,,,,
,8 .,,,,,,,,  ,,,,,,,,,  ,,,,,,,,,  ,,,,  ,,,,,,,,,,,,,,,,,
,9 .,,,,,,,,  ,,,,,,,,,  ,,,,,,,,,  ,,,,  ,,,,,,,,,,,,,,,,,
,10 .,,,,,,,,  ,,,,,,,,,  ,,,,,,,,,  ,,,,  ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
